240,糖,food7,調味料,,10,38.5,0,0,0,9.94,6.1,0.3,0.6,1.1,0.1,0,0.01,1271125075,1271125075
242,低筋麵粉,food1,,自製鬆餅.jpg,30,108.6,0,0.36,2.52,23.22,45.9,0.6,5.4,8.7,16.8,0.24,0.18,1271125075,1271125075
243,漢飽餐包,food1,,喀啦雞腿堡.jpg,55,164.45,7.15,4.125,5.17,26.95,59.4,258.5,14.3,15.95,65.45,0.605,0.495,1271125075,1271125075
244,炸雞塊,food2,,,80,182.4,26.4,10.56,12.24,9.84,160,476.8,5.6,16,81.6,0.48,0.32,1271125075,1271125075
245,沙拉醬,food7,調味料,,5,31.95,1.7,3.285,0.095,0.57,5.4,49,0.5,0.15,1.7,0.025,0.035,1271125075,1271125075
247,白麵包,food1,,鮪魚土司夾蛋.jpg,50,149.5,6.5,3.75,4.7,24.5,54,235,13,14.5,59.5,0.55,0.45,1271125075,1271125075
248,鮪魚片,food2,,,15,14.1,4.8,0.015,3.495,0,76.65,4.05,0.6,5.85,34.35,0.135,0.06,1271125075,1271125075
249,雞蛋,food2,,,60,85.2,259.8,5.94,7.26,0.18,73.8,81,18,6.6,111,1.08,0.72,1271125075,1271125075
255,乳酪,food6,,,20,59.6,16.6,4.24,3.62,1.76,14.8,369,114.8,6,74.4,0.36,0.54,1271125075,1271125075
257,火腿,food2,,,25,37.75,9.75,1.35,4.35,2.075,83.5,231,14.75,5.5,98.25,0.35,0.425,1271125075,1271125075
258,可樂,food7,飲料,,650,331.5,0,0,0,83.2,0,45.5,6.5,6.5,104,0.65,0,1271125075,1271125075
261,五花肉(豬),food2,,,40,157.2,26.4,14.68,5.8,0,92.4,14.4,0.4,5.6,51.2,0.24,0.56,1271125075,1271125075
265,奶茶,food7,飲料,,330,100,,,,,,,,,,,,1271125075,1271125075
266,熱狗,food2,,煎蛋熱狗+無糖豆漿.jpg,55,156.75,30.25,12.43,7.37,4.125,71.5,369.05,12.65,5.5,71.5,1.045,0.605,1271125075,1271125075
268,豆漿,food7,飲料,,330,69.8,,,,,,,,,,,,1271125075,1271125075
270,白土司,food1,,鮮奶油三明治.jpg,60,179.4,7.8,4.5,5.64,29.4,64.8,282,15.6,17.4,71.4,0.66,0.54,1271125075,1271125075
271,乳酪,food6,,,10,29.8,8.3,2.12,1.81,0.88,7.4,184.5,57.4,3,37.2,0.18,0.27,1271125075,1271125075
272,奶油,food5,,,5,33.95,9.85,3.59,0.04,0.44,1.35,28.2,1.15,0.15,1.9,0.005,0.005,1271125075,1271125075
273,(三)火腿,food2,,,10,13.6,2.7,0.33,1.57,1.09,22.9,108.7,1.2,1.7,29.5,0.11,0.13,1271125075,1271125075
274,鮮乳酪,food6,,,10,9.6,0,0.4,0.28,1.28,13.7,5.9,3,0.9,4.9,0,0.01,1271125075,1271125075
275,鮭魚,food2,,味增鮭魚湯.jpg,30,69,18,4.83,5.94,-,50.1,9.6,0.6,7.5,59.7,0.15,0.15,1271125075,1271125075
276,油豆腐,food2,,,20,27.6,0,1.82,2.54,0.3,39.2,0.2,43.2,11.4,43.6,0.5,0.28,1271125075,1271125075
277,豆腐,food2,,,20,17.6,0,0.68,1.7,1.2,36,0.4,28,6.6,22.2,0.4,0.16,1271125075,1271125075
278,味噌,food7,調味料,,5,11.1,0,0.24,0.585,1.67,20.8,189.05,2.65,3.35,7.75,0.11,0.065,1271125075,1271125075
279,虱目魚丸,food2,,大頭菜(甘藍).jpg,20,35,6.6,1.52,2.58,2.8,22.4,118.2,63,3.4,43.8,0.38,0.1,1271125075,1271125075
280,大頭菜,food3,,,50,11.5,0,0.15,0.6,2.2,75,8.5,26,5.5,14,0.15,0.1,1271125075,1271125075
281,竹筍,food3,,筍片排骨湯.jpg,50,11,0,0.1,1.05,1.9,170,0.5,3.5,6,20.5,0.15,0.2,1271125075,1271125075
282,小排(豬),food2,,,30,74.7,21.9,5.7,5.43,0.09,76.5,23.7,11.4,5.7,57.9,0.33,0.63,1271125075,1271125075
283,虱目魚丸,food2,,蘿蔔魚丸湯.jpg,40,90,17.6,5.92,5.88,3.4,68.8,211.2,21.6,7.6,67.6,0.2,0.16,1271125075,1271125075
284,蘿蔔,food3,,,100,21,0,0.2,0.8,4.5,200,23,27,10,13,0.2,0.2,1271125075,1271125075
285,菜肉餛飩,food1,,菜肉餛飩湯.jpg,40,97.6,0,7.32,3.64,4.52,78,277.2,17.6,7.2,34.8,0.52,0.56,1271125075,1271125075
286,肉羹(五花肉,food2,,肉羹湯.jpg,30,117.9,19.8,11.01,4.35,0,69.3,10.8,0.3,4.2,38.4,0.18,0.42,1271125075,1271125075
288,香菇片,food3,,,20,8,0,0.08,0.68,1.4,56,0.4,0.6,3.4,17.2,0.12,0.22,1271125075,1271125075
289,大白菜,food3,,,20,2.4,0,0.04,0.22,0.36,37.2,3,8.2,2,7,0.08,0.08,1271125075,1271125075
290,紅蘿蔔,food3,,,5,1.9,0,0.025,0.055,0.39,14.5,3.95,1.5,0.8,2.6,0.02,0.015,1271125075,1271125075
291,太白粉,food7,調味料,,5,11.1,0,0.24,0.585,1.67,20.8,189.05,2.65,3.35,7.75,0.11,0.065,1271125075,1271125075
292,豬腳,food2,,滷豬腳.jpg,35,78.05,44.45,5.04,7.595,0,67.55,39.55,19.25,4.55,52.15,0.35,1.225,1271125075,1271125075
